ImagePath,Layer_1_True,Layer_1_ans,Layer_2_True,Layer_2_ans,Layer_3_True,Layer_3_ans,sub_class,subtwo_class,super_class
M1-ABNORMAL@NP@TFT@Array_20221028_BAR252N-1-4.jpg,TFT,TFT,NP,NP,M1-ABNORMAL,M1-ABNORMAL,"['NP', 'OP', 'UP', 'INT']","['M1-ABNORMAL', 'CF PS DEFORMATION', 'ITO-RESIDUE-T', 'PV-HOLE-T', 'FIBER']","['TFT', 'CF']"
CF DEFECT@NP@CF@CF_20221031_BAP84SG-1-3.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'OP', 'UP', 'INT']","['CF DEFECT', 'CF REPAIR FAIL', 'PI SPOT-WITH PAR', 'FIBER', 'ESD']","['CF', 'TFT']"
FIBER@OP@CF@Cell_20221102_B97R2GD-1-3.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'NP', 'UP', 'INT']","['FIBER', 'POLYMER', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'CF DEFECT']","['CF', 'TFT']"
POLYMER@UP@TFT@Cell_20220926_B32M2DJ-1-3.jpg,TFT,TFT,UP,UP,POLYMER,POLYMER,"['UP', 'NP', 'INT', 'OP']","['POLYMER', 'ITO-RESIDUE-T', 'LIGHT METAL', 'CF DEFECT', 'ESD']","['TFT', 'CF']"
CF PS DEFORMATION@NP@CF@CF_20220702_B61V7GA-1-1.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'OP', 'UP', 'INT']","['CF PS DEFORMATION', 'PV-HOLE-T', 'CF DEFECT', 'FIBER', 'AS-RESIDUE-E']","['CF', 'TFT']"
CF DEFECT@NP@CF@CF_20220522_B3BM04Z-1-2.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'UP', 'INT', 'OP']","['CF DEFECT', 'PV-HOLE-T', 'CF REPAIR FAIL', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
M1-ABNORMAL@NP@TFT@Array_20220919_B4YK1HT-1-1.jpg,TFT,TFT,NP,NP,M1-ABNORMAL,M1-ABNORMAL,"['NP', 'UP', 'OP', 'INT']","['M1-ABNORMAL', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'FIBER']","['TFT', 'CF']"
PV-HOLE-T@NP@TFT@Array_20220614_B4SL3WJ-1-3.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'UP', 'OP', 'INT']","['PV-HOLE-T', 'FIBER', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'AS-RESIDUE-E']","['TFT', 'CF']"
CF DEFECT@NP@CF@CF_20220703_B6249UT-1-1.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'UP', 'INT', 'OP']","['CF DEFECT', 'PV-HOLE-T', 'AS-RESIDUE-E', 'ITO-RESIDUE-T', 'GLASS CULLET']","['CF', 'TFT']"
AS-RESIDUE-E@NP@TFT@Array_20220720_B37Y5MD-1-2.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,AS-RESIDUE-E,"['NP', 'UP', 'OP', 'INT']","['AS-RESIDUE-E', 'LIGHT METAL', 'FIBER', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION']","['TFT', 'CF']"
PV-HOLE-T@NP@TFT@Array_20220822_B4Y78ZE-1-1.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'UP', 'OP', 'INT']","['PV-HOLE-T', 'FIBER', 'POLYMER', 'ESD', 'CF REPAIR FAIL']","['TFT', 'CF']"
PI SPOT-WITH PAR@UP@TFT@Cell_20221010_B9422QK-1-3.jpg,TFT,TFT,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'NP', 'INT', 'OP']","['PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'PV-HOLE-T', 'AS-RESIDUE-E', 'LIGHT METAL']","['TFT', 'CF']"
M1-ABNORMAL@NP@TFT@Array_20220903_B74A7XF-1-3.jpg,TFT,TFT,NP,NP,M1-ABNORMAL,M1-ABNORMAL,"['NP', 'OP', 'UP', 'INT']","['M1-ABNORMAL', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'FIBER', 'POLYMER']","['TFT', 'CF']"
CF REPAIR FAIL@NP@CF@CF_20220926_B8504TC-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'OP', 'UP', 'INT']","['CF REPAIR FAIL', 'POLYMER', 'PV-HOLE-T', 'CF PS DEFORMATION', 'CF DEFECT']","['CF', 'TFT']"
PI SPOT-WITH PAR@UP@CF@Cell_20220523_B52E2GN-1-3.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'INT', 'OP', 'NP']","['PI SPOT-WITH PAR', 'M1-ABNORMAL', 'LIGHT METAL', 'GLASS BROKEN', 'POLYMER']","['CF', 'TFT']"
ITO-RESIDUE-T@NP@TFT@Array_20221016_B65Y5HS-1-2.jpg,TFT,TFT,NP,NP,ITO-RESIDUE-T,ITO-RESIDUE-T,"['NP', 'OP', 'INT', 'UP']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'AS-RESIDUE-E', 'CF PS DEFORMATION', 'PV-HOLE-T']","['TFT', 'CF']"
M1-ABNORMAL@NP@TFT@Array_20220712_B52H2JA-1-2.jpg,TFT,TFT,NP,NP,M1-ABNORMAL,M1-ABNORMAL,"['NP', 'INT', 'UP', 'OP']","['M1-ABNORMAL', 'ITO-RESIDUE-T', 'PV-HOLE-T', 'AS-RESIDUE-E', 'CF PS DEFORMATION']","['TFT', 'CF']"
AS-RESIDUE-E@NP@TFT@Array_20221001_B94Z1TN-1-4.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,AS-RESIDUE-E,"['NP', 'UP', 'INT', 'OP']","['AS-RESIDUE-E', 'M1-ABNORMAL', 'ITO-RESIDUE-T', 'FIBER', 'PV-HOLE-T']","['TFT', 'CF']"
GLASS BROKEN@INT@TFT@Cell_20221028_7L2BAQ76N0FF-1-2.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'NP', 'UP', 'OP']","['GLASS BROKEN', 'ITO-RESIDUE-T', 'CF DEFECT', 'GLASS CULLET', 'PI SPOT-WITH PAR']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_20220512_B50A4WQ-1-1.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'NP', 'UP']","['POLYMER', 'FIBER', 'CF PS DEFORMATION', 'PI SPOT-WITH PAR', 'M1-ABNORMAL']","['CF', 'TFT']"
POLYMER@OP@CF@Cell_20220504_B4WH2F3-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'UP', 'NP', 'INT']","['POLYMER', 'FIBER', 'PI SPOT-WITH PAR', 'GLASS CULLET', 'CF PS DEFORMATION']","['CF', 'TFT']"
LIGHT METAL@UP@CF@Cell_20220704_9H2B3E10X0BB-1-2.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'NP', 'INT', 'OP']","['LIGHT METAL', 'ITO-RESIDUE-T', 'PV-HOLE-T', 'M1-ABNORMAL', 'CF PS DEFORMATION']","['CF', 'TFT']"
PI SPOT-WITH PAR@UP@TFT@Cell_20220506_B3AM84S-1-2.jpg,TFT,TFT,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'INT', 'NP']","['PI SPOT-WITH PAR', 'GLASS BROKEN', 'POLYMER', 'LIGHT METAL', 'ESD']","['TFT', 'CF']"
LIGHT METAL@UP@CF@Cell_20220720_B56N73E-1-2.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'OP', 'NP', 'INT']","['LIGHT METAL', 'POLYMER', 'ITO-RESIDUE-T', 'PV-HOLE-T', 'ESD']","['CF', 'TFT']"
GLASS BROKEN@INT@TFT@Cell_20220614_B55A9ZJ-1-1.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'NP', 'OP', 'UP']","['GLASS BROKEN', 'ESD', 'PI SPOT-WITH PAR', 'GLASS CULLET', 'AS-RESIDUE-E']","['TFT', 'CF']"
GLASS BROKEN@INT@TFT@Cell_20220527_B50G0EN-2-1.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'UP', 'NP', 'OP']","['GLASS BROKEN', 'ESD', 'PI SPOT-WITH PAR', 'FIBER', 'CF PS DEFORMATION']","['TFT', 'CF']"
PV-HOLE-T@NP@TFT@Array_20221024_B9629QH-1-3.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'OP', 'UP', 'INT']","['PV-HOLE-T', 'CF REPAIR FAIL', 'POLYMER', 'ESD', 'CF PS DEFORMATION']","['TFT', 'CF']"
FIBER@UP@TFT@Cell_20221014_BAKF81L-1-3.jpg,TFT,TFT,UP,UP,FIBER,FIBER,"['UP', 'NP', 'OP', 'INT']","['FIBER', 'M1-ABNORMAL', 'ITO-RESIDUE-T', 'LIGHT METAL', 'CF PS DEFORMATION']","['TFT', 'CF']"
LIGHT METAL@UP@CF@Cell_20220512_B4XQ2HA-1-4.jpg,CF,CF,UP,OP,LIGHT METAL,POLYMER,"['OP', 'UP', 'NP', 'INT']","['POLYMER', 'LIGHT METAL', 'CF DEFECT', 'M1-ABNORMAL', 'GLASS BROKEN']","['CF', 'TFT']"
GLASS BROKEN@INT@TFT@Cell_20220729_B71J7K6-2-1.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'NP', 'UP', 'OP']","['GLASS BROKEN', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR', 'GLASS CULLET']","['TFT', 'CF']"
PV-HOLE-T@NP@TFT@Array_20221009_B96U9QN-1-4.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'UP', 'INT', 'OP']","['PV-HOLE-T', 'ITO-RESIDUE-T', 'FIBER', 'CF REPAIR FAIL', 'GLASS CULLET']","['TFT', 'CF']"
FIBER@UP@TFT@Cell_20220825_B63F4VL-1-3.jpg,TFT,TFT,UP,UP,FIBER,FIBER,"['UP', 'OP', 'NP', 'INT']","['FIBER', 'PV-HOLE-T', 'LIGHT METAL', 'M1-ABNORMAL', 'ITO-RESIDUE-T']","['TFT', 'CF']"
FIBER@OP@CF@Cell_20220512_B50A4QR-1-4.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'INT', 'NP', 'UP']","['FIBER', 'ESD', 'CF PS DEFORMATION', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
M1-ABNORMAL@NP@TFT@Array_20220531_B4QK1KV-1-1.jpg,TFT,TFT,NP,NP,M1-ABNORMAL,M1-ABNORMAL,"['NP', 'INT', 'UP', 'OP']","['M1-ABNORMAL', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'AS-RESIDUE-E', 'ESD']","['TFT', 'CF']"
PV-HOLE-T@NP@TFT@Array_20220724_B3CK4TV-1-2.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'UP', 'OP', 'INT']","['PV-HOLE-T', 'ITO-RESIDUE-T', 'FIBER', 'CF DEFECT', 'PI SPOT-WITH PAR']","['TFT', 'CF']"
ITO-RESIDUE-T@NP@TFT@Array_20220730_B74V6EC-1-1.jpg,TFT,TFT,NP,NP,ITO-RESIDUE-T,ITO-RESIDUE-T,"['NP', 'OP', 'INT', 'UP']","['ITO-RESIDUE-T', 'AS-RESIDUE-E', 'POLYMER', 'CF PS DEFORMATION', 'GLASS BROKEN']","['TFT', 'CF']"
CF DEFECT@NP@CF@CF_20220504_B4MX9KL-1-2.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'UP', 'INT', 'OP']","['CF DEFECT', 'PV-HOLE-T', 'POLYMER', 'ITO-RESIDUE-T', 'M1-ABNORMAL']","['CF', 'TFT']"
PV-HOLE-T@NP@TFT@Array_20220519_GV2B1388U0GD-1-4.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'OP', 'UP', 'INT']","['PV-HOLE-T', 'POLYMER', 'CF PS DEFORMATION', 'CF DEFECT', 'FIBER']","['TFT', 'CF']"
CF DEFECT@NP@CF@CF_20220527_B51V72G-1-1.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'UP', 'INT', 'OP']","['CF DEFECT', 'LIGHT METAL', 'CF PS DEFORMATION', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_20220601_CS2B4NX3B0HB-1-1.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'UP', 'OP', 'INT']","['CF PS DEFORMATION', 'ESD', 'AS-RESIDUE-E', 'FIBER', 'CF DEFECT']","['CF', 'TFT']"
POLYMER@OP@TFT@Cell_20220511_B50A4JL-1-4.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'FIBER', 'CF DEFECT', 'CF PS DEFORMATION', 'CF REPAIR FAIL']","['TFT', 'CF']"
PI SPOT-WITH PAR@UP@CF@Cell_20220518_B51F9HL-1-3.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'INT', 'OP', 'NP']","['PI SPOT-WITH PAR', 'FIBER', 'GLASS BROKEN', 'ESD', 'CF PS DEFORMATION']","['CF', 'TFT']"
POLYMER@OP@CF@Cell_20220724_B4X27QN-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'NP', 'INT', 'UP']","['POLYMER', 'FIBER', 'M1-ABNORMAL', 'PI SPOT-WITH PAR', 'ESD']","['CF', 'TFT']"
ITO-RESIDUE-T@NP@TFT@Array_20220912_B63L6G6-1-2.jpg,TFT,TFT,NP,NP,ITO-RESIDUE-T,ITO-RESIDUE-T,"['NP', 'OP', 'UP', 'INT']","['ITO-RESIDUE-T', 'PV-HOLE-T', 'M1-ABNORMAL', 'AS-RESIDUE-E', 'FIBER']","['TFT', 'CF']"
GLASS BROKEN@INT@TFT@Cell_20221009_3J2B71P210DC-1-1.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'UP', 'NP', 'OP']","['GLASS BROKEN', 'ESD', 'FIBER', 'ITO-RESIDUE-T', 'AS-RESIDUE-E']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_20220824_B81D0TB-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'FIBER', 'CF PS DEFORMATION', 'M1-ABNORMAL', 'ESD']","['CF', 'TFT']"
PV-HOLE-T@NP@TFT@Array_20220726_B64Q1YS-1-4.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'UP', 'OP', 'INT']","['PV-HOLE-T', 'FIBER', 'PI SPOT-WITH PAR', 'CF DEFECT', 'ESD']","['TFT', 'CF']"
CF DEFECT@NP@CF@CF_20221030_BARX4UK-1-3.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'UP', 'INT', 'OP']","['CF DEFECT', 'PI SPOT-WITH PAR', 'CF REPAIR FAIL', 'ESD', 'FIBER']","['CF', 'TFT']"
CF DEFECT@NP@CF@CF_20220611_831BBLE9S0ED-1-2.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'UP', 'INT', 'OP']","['CF DEFECT', 'CF REPAIR FAIL', 'CF PS DEFORMATION', 'FIBER', 'AS-RESIDUE-E']","['CF', 'TFT']"
POLYMER@OP@CF@Cell_20220511_B4T38BL-1-2.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'FIBER', 'M1-ABNORMAL', 'ITO-RESIDUE-T', 'PV-HOLE-T']","['CF', 'TFT']"
ITO-RESIDUE-T@NP@TFT@Array_20220927_B9118ZD-1-4.jpg,TFT,TFT,NP,NP,ITO-RESIDUE-T,ITO-RESIDUE-T,"['NP', 'INT', 'OP', 'UP']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'AS-RESIDUE-E', 'CF DEFECT']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_20221009_B9745HS-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'NP', 'UP']","['POLYMER', 'FIBER', 'M1-ABNORMAL', 'ESD', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_20220914_CA2B819110GD-2-3.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'UP', 'OP', 'INT']","['CF PS DEFORMATION', 'FIBER', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'GLASS BROKEN']","['CF', 'TFT']"
PI SPOT-WITH PAR@UP@CF@Cell_20220924_B91S8CQ-1-3.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'INT', 'NP']","['PI SPOT-WITH PAR', 'LIGHT METAL', 'FIBER', 'GLASS CULLET', 'CF DEFECT']","['CF', 'TFT']"
