ImagePath,Layer_1_True,Layer_1_ans,Layer_2_True,Layer_2_ans,Layer_3_True,Layer_3_ans,sub_class,subtwo_class,super_class
CF DEFECT@NP@CF@CF_B55P0CP-1-3.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'OP', 'INT', 'UP']","['CF DEFECT', 'FIBER', 'CF PS DEFORMATION', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
CF DEFECT@NP@CF@CF_B59E44Q-1-3.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'UP', 'INT', 'OP']","['CF DEFECT', 'LIGHT METAL', 'CF REPAIR FAIL', 'AS-RESIDUE-E', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
FIBER@OP@CF@Cell_B5581MH-1-3.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'INT', 'NP', 'UP']","['FIBER', 'PV-HOLE-T', 'POLYMER', 'CF DEFECT', 'GLASS BROKEN']","['CF', 'TFT']"
POLYMER@OP@TFT@Cell_B4X02WE-1-3.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'UP', 'NP']","['POLYMER', 'FIBER', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'GLASS BROKEN']","['TFT', 'CF']"
PI SPOT-WITH PAR@UP@CF@Cell_B63A1DE-1-3.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'NP', 'INT']","['PI SPOT-WITH PAR', 'POLYMER', 'CF DEFECT', 'CF REPAIR FAIL', 'LIGHT METAL']","['CF', 'TFT']"
CF DEFECT@NP@CF@CF_B61V4MF-1-3.jpg,CF,CF,NP,NP,CF DEFECT,CF REPAIR FAIL,"['NP', 'OP', 'UP', 'INT']","['CF REPAIR FAIL', 'CF DEFECT', 'PI SPOT-WITH PAR', 'GLASS CULLET', 'CF PS DEFORMATION']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_7D3B5370G0CB-1-3.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'OP', 'UP', 'INT']","['CF PS DEFORMATION', 'GLASS CULLET', 'FIBER', 'GLASS BROKEN', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
POLYMER@UP@TFT@Cell_B56H6FL-1-3.jpg,TFT,TFT,UP,UP,POLYMER,POLYMER,"['UP', 'OP', 'NP', 'INT']","['POLYMER', 'PV-HOLE-T', 'CF DEFECT', 'CF REPAIR FAIL', 'CF PS DEFORMATION']","['TFT', 'CF']"
CF REPAIR FAIL@NP@CF@CF_B61V3DG-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'UP', 'INT', 'OP']","['CF REPAIR FAIL', 'CF DEFECT', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'PV-HOLE-T']","['CF', 'TFT']"
FIBER@UP@TFT@Cell_B4UM8SC-1-3.jpg,TFT,TFT,UP,UP,FIBER,FIBER,"['UP', 'OP', 'INT', 'NP']","['FIBER', 'POLYMER', 'M1-ABNORMAL', 'PI SPOT-WITH PAR', 'LIGHT METAL']","['TFT', 'CF']"
CF REPAIR FAIL@NP@CF@CF_B5AY2QA-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'OP', 'UP', 'INT']","['CF REPAIR FAIL', 'CF PS DEFORMATION', 'PV-HOLE-T', 'GLASS CULLET', 'LIGHT METAL']","['CF', 'TFT']"
AS-RESIDUE-E@NP@TFT@Array_B66C6LP-1-4.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,AS-RESIDUE-E,"['NP', 'UP', 'INT', 'OP']","['AS-RESIDUE-E', 'M1-ABNORMAL', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'FIBER']","['TFT', 'CF']"
LIGHT METAL@UP@CF@Cell_H4CZ0QC-1-3.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'INT', 'NP', 'OP']","['LIGHT METAL', 'CF PS DEFORMATION', 'FIBER', 'PI SPOT-WITH PAR', 'M1-ABNORMAL']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_B4VE8EA-1-3.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'OP', 'UP', 'INT']","['CF PS DEFORMATION', 'FIBER', 'PV-HOLE-T', 'GLASS CULLET', 'ITO-RESIDUE-T']","['CF', 'TFT']"
GLASS BROKEN@INT@TFT@Cell_B4SL4CH-1-3.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'UP', 'NP', 'OP']","['GLASS BROKEN', 'ESD', 'CF DEFECT', 'CF PS DEFORMATION', 'LIGHT METAL']","['TFT', 'CF']"
POLYMER@OP@TFT@Cell_B4X00YC-1-3.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'UP', 'NP', 'INT']","['POLYMER', 'FIBER', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'LIGHT METAL']","['TFT', 'CF']"
FIBER@OP@CF@Cell_B5B27LC-1-3.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'NP', 'INT', 'UP']","['FIBER', 'CF PS DEFORMATION', 'CF DEFECT', 'PV-HOLE-T', 'LIGHT METAL']","['CF', 'TFT']"
ITO-RESIDUE-T@NP@TFT@Array_B4X284T-1-3.jpg,TFT,TFT,NP,UP,ITO-RESIDUE-T,PI SPOT-WITH PAR,"['UP', 'NP', 'OP', 'INT']","['PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'AS-RESIDUE-E', 'M1-ABNORMAL', 'PV-HOLE-T']","['TFT', 'CF']"
ITO-RESIDUE-T@NP@TFT@Array_B50K1NC-2-3.jpg,TFT,TFT,NP,NP,ITO-RESIDUE-T,ITO-RESIDUE-T,"['NP', 'INT', 'OP', 'UP']","['ITO-RESIDUE-T', 'AS-RESIDUE-E', 'CF PS DEFORMATION', 'POLYMER', 'M1-ABNORMAL']","['TFT', 'CF']"
CF REPAIR FAIL@NP@CF@CF_B4VV1XB-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'OP', 'INT', 'UP']","['CF REPAIR FAIL', 'CF DEFECT', 'CF PS DEFORMATION', 'M1-ABNORMAL', 'PV-HOLE-T']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_B4WZ9JF-1-3.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF PS DEFORMATION,"['NP', 'OP', 'UP', 'INT']","['CF PS DEFORMATION', 'PV-HOLE-T', 'FIBER', 'AS-RESIDUE-E', 'LIGHT METAL']","['CF', 'TFT']"
POLYMER@UP@TFT@Cell_B4X00QF-1-3.jpg,TFT,TFT,UP,NP,POLYMER,PV-HOLE-T,"['NP', 'UP', 'INT', 'OP']","['PV-HOLE-T', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'FIBER', 'POLYMER']","['TFT', 'CF']"
LIGHT METAL@UP@CF@Cell_B4N61WG-1-3.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'NP', 'INT', 'OP']","['LIGHT METAL', 'CF DEFECT', 'FIBER', 'PV-HOLE-T', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
POLYMER@OP@TFT@Cell_B55E1KF-1-3.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'NP', 'UP']","['POLYMER', 'FIBER', 'GLASS BROKEN', 'CF PS DEFORMATION', 'ESD']","['TFT', 'CF']"
FIBER@OP@CF@Cell_B58743J-1-3.jpg,CF,CF,OP,OP,FIBER,FIBER,"['OP', 'INT', 'UP', 'NP']","['FIBER', 'LIGHT METAL', 'PV-HOLE-T', 'M1-ABNORMAL', 'ESD']","['CF', 'TFT']"
PI SPOT-WITH PAR@UP@CF@Cell_B92B7RL-1-3.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'INT', 'NP']","['PI SPOT-WITH PAR', 'GLASS CULLET', 'M1-ABNORMAL', 'PV-HOLE-T', 'GLASS BROKEN']","['CF', 'TFT']"
POLYMER@OP@TFT@Cell_B55Q4UA-1-3.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'UP', 'NP', 'INT']","['POLYMER', 'PI SPOT-WITH PAR', 'CF DEFECT', 'CF PS DEFORMATION', 'PV-HOLE-T']","['TFT', 'CF']"
ESD@INT@TFT@Cell_B37Y7EC-1-4.jpg,TFT,TFT,INT,INT,ESD,ESD,"['INT', 'NP', 'OP', 'UP']","['ESD', 'M1-ABNORMAL', 'FIBER', 'ITO-RESIDUE-T', 'PV-HOLE-T']","['TFT', 'CF']"
ITO-RESIDUE-T@NP@TFT@Array_B57L7EM-1-3.jpg,TFT,TFT,NP,NP,ITO-RESIDUE-T,ITO-RESIDUE-T,"['NP', 'OP', 'INT', 'UP']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'AS-RESIDUE-E', 'CF PS DEFORMATION', 'POLYMER']","['TFT', 'CF']"
LIGHT METAL@UP@CF@Cell_B3916EH-1-3.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'NP', 'INT', 'OP']","['LIGHT METAL', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'FIBER', 'PV-HOLE-T']","['CF', 'TFT']"
POLYMER@UP@TFT@Cell_B4RA4RD-1-3.jpg,TFT,TFT,UP,UP,POLYMER,PI SPOT-WITH PAR,"['UP', 'OP', 'NP', 'INT']","['PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'CF DEFECT', 'AS-RESIDUE-E', 'CF REPAIR FAIL']","['TFT', 'CF']"
GLASS BROKEN@INT@TFT@Cell_B4TN2TV-1-2.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'UP', 'NP', 'OP']","['GLASS BROKEN', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'ESD', 'CF REPAIR FAIL']","['TFT', 'CF']"
GLASS BROKEN@INT@TFT@Cell_HBMQ4AG-1-4.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'NP', 'UP', 'OP']","['GLASS BROKEN', 'PI SPOT-WITH PAR', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'FIBER']","['TFT', 'CF']"
LIGHT METAL@UP@CF@Cell_H3CJ3JF-1-3.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'NP', 'INT', 'OP']","['LIGHT METAL', 'CF PS DEFORMATION', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'CF DEFECT']","['CF', 'TFT']"
POLYMER@OP@TFT@Cell_B54C0CJ-1-3.jpg,TFT,TFT,OP,UP,POLYMER,FIBER,"['UP', 'OP', 'INT', 'NP']","['FIBER', 'POLYMER', 'M1-ABNORMAL', 'ITO-RESIDUE-T', 'LIGHT METAL']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_B6214RD-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'NP', 'UP']","['POLYMER', 'FIBER', 'M1-ABNORMAL', 'GLASS CULLET', 'PV-HOLE-T']","['CF', 'TFT']"
ESD@INT@TFT@Cell_B27X01L-1-1.jpg,TFT,TFT,INT,INT,ESD,ESD,"['INT', 'NP', 'OP', 'UP']","['ESD', 'CF REPAIR FAIL', 'CF PS DEFORMATION', 'POLYMER', 'PV-HOLE-T']","['TFT', 'CF']"
POLYMER@OP@CF@Cell_B59E5QM-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'NP', 'UP']","['POLYMER', 'FIBER', 'M1-ABNORMAL', 'CF PS DEFORMATION', 'PI SPOT-WITH PAR']","['CF', 'TFT']"
CF REPAIR FAIL@NP@CF@CF_B61V7DK-1-3.jpg,CF,CF,NP,NP,CF REPAIR FAIL,CF REPAIR FAIL,"['NP', 'OP', 'UP', 'INT']","['CF REPAIR FAIL', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'M1-ABNORMAL', 'AS-RESIDUE-E']","['CF', 'TFT']"
POLYMER@UP@TFT@Cell_B5633RM-1-3.jpg,TFT,TFT,UP,UP,POLYMER,POLYMER,"['UP', 'NP', 'INT', 'OP']","['POLYMER', 'AS-RESIDUE-E', 'CF REPAIR FAIL', 'ESD', 'GLASS BROKEN']","['TFT', 'CF']"
GLASS BROKEN@INT@TFT@Cell_B4N98AM-1-4.jpg,TFT,TFT,INT,INT,GLASS BROKEN,GLASS BROKEN,"['INT', 'UP', 'NP', 'OP']","['GLASS BROKEN', 'ESD', 'PI SPOT-WITH PAR', 'PV-HOLE-T', 'CF PS DEFORMATION']","['TFT', 'CF']"
CF DEFECT@NP@CF@CF_B4VF0GF-1-3.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'OP', 'INT', 'UP']","['CF DEFECT', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'FIBER', 'ESD']","['CF', 'TFT']"
POLYMER@OP@TFT@Cell_CG3B51K4H0LD-1-3.jpg,TFT,TFT,OP,OP,POLYMER,POLYMER,"['OP', 'UP', 'INT', 'NP']","['POLYMER', 'PI SPOT-WITH PAR', 'LIGHT METAL', 'CF PS DEFORMATION', 'ESD']","['TFT', 'CF']"
LIGHT METAL@UP@CF@Cell_7S3B5AA0Q0AE-1-3.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'NP', 'OP', 'INT']","['LIGHT METAL', 'CF DEFECT', 'POLYMER', 'ITO-RESIDUE-T', 'CF REPAIR FAIL']","['CF', 'TFT']"
CF DEFECT@NP@CF@CF_B4VL0BB-1-3.jpg,CF,CF,NP,NP,CF DEFECT,CF DEFECT,"['NP', 'UP', 'INT', 'OP']","['CF DEFECT', 'POLYMER', 'FIBER', 'ITO-RESIDUE-T', 'GLASS BROKEN']","['CF', 'TFT']"
PV-HOLE-T@NP@TFT@Array_B5BK2BQ-1-3.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'UP', 'OP', 'INT']","['PV-HOLE-T', 'CF DEFECT', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION']","['TFT', 'CF']"
PI SPOT-WITH PAR@UP@CF@Cell_B52E2GN-1-3.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'INT', 'OP', 'NP']","['PI SPOT-WITH PAR', 'M1-ABNORMAL', 'LIGHT METAL', 'GLASS BROKEN', 'POLYMER']","['CF', 'TFT']"
CF PS DEFORMATION@NP@CF@CF_B54U6JR-1-3.jpg,CF,CF,NP,NP,CF PS DEFORMATION,CF REPAIR FAIL,"['NP', 'OP', 'INT', 'UP']","['CF REPAIR FAIL', 'CF PS DEFORMATION', 'GLASS CULLET', 'CF DEFECT', 'FIBER']","['CF', 'TFT']"
AS-RESIDUE-E@NP@TFT@Array_B66C6LP-1-3.jpg,TFT,TFT,NP,NP,AS-RESIDUE-E,AS-RESIDUE-E,"['NP', 'UP', 'INT', 'OP']","['AS-RESIDUE-E', 'M1-ABNORMAL', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'FIBER']","['TFT', 'CF']"
POLYMER@UP@TFT@Cell_B51D0AT-1-3.jpg,TFT,TFT,UP,UP,POLYMER,PI SPOT-WITH PAR,"['UP', 'INT', 'OP', 'NP']","['PI SPOT-WITH PAR', 'POLYMER', 'CF PS DEFORMATION', 'M1-ABNORMAL', 'PV-HOLE-T']","['TFT', 'CF']"
LIGHT METAL@UP@CF@Cell_B2419PB-1-3.jpg,CF,CF,UP,UP,LIGHT METAL,LIGHT METAL,"['UP', 'NP', 'OP', 'INT']","['LIGHT METAL', 'CF DEFECT', 'FIBER', 'ITO-RESIDUE-T', 'CF REPAIR FAIL']","['CF', 'TFT']"
POLYMER@OP@CF@Cell_B4X01JF-1-3.jpg,CF,CF,OP,OP,POLYMER,POLYMER,"['OP', 'INT', 'NP', 'UP']","['POLYMER', 'FIBER', 'CF PS DEFORMATION', 'PI SPOT-WITH PAR', 'M1-ABNORMAL']","['CF', 'TFT']"
PI SPOT-WITH PAR@UP@TFT@Cell_B5CG8ST-1-3.jpg,TFT,TFT,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'INT', 'NP']","['PI SPOT-WITH PAR', 'POLYMER', 'ITO-RESIDUE-T', 'AS-RESIDUE-E', 'GLASS BROKEN']","['TFT', 'CF']"
POLYMER@UP@TFT@Cell_B4T93PR-1-3.jpg,TFT,TFT,UP,UP,POLYMER,PI SPOT-WITH PAR,"['UP', 'OP', 'NP', 'INT']","['PI SPOT-WITH PAR', 'POLYMER', 'M1-ABNORMAL', 'FIBER', 'PV-HOLE-T']","['TFT', 'CF']"
FIBER@UP@TFT@Cell_B4K48EP-1-3.jpg,TFT,TFT,UP,UP,FIBER,FIBER,"['UP', 'OP', 'INT', 'NP']","['FIBER', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'LIGHT METAL', 'M1-ABNORMAL']","['TFT', 'CF']"
POLYMER@UP@TFT@Cell_B51D0AF-2-3.jpg,TFT,TFT,UP,UP,POLYMER,PI SPOT-WITH PAR,"['UP', 'OP', 'NP', 'INT']","['PI SPOT-WITH PAR', 'CF REPAIR FAIL', 'CF PS DEFORMATION', 'AS-RESIDUE-E', 'PV-HOLE-T']","['TFT', 'CF']"
ESD@INT@TFT@Cell_B33W8WK-1-1.jpg,TFT,TFT,INT,INT,ESD,ESD,"['INT', 'NP', 'UP', 'OP']","['ESD', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'CF PS DEFORMATION', 'CF REPAIR FAIL']","['TFT', 'CF']"
M1-ABNORMAL@NP@TFT@Array_B4U14FD-1-3.jpg,TFT,TFT,NP,NP,M1-ABNORMAL,M1-ABNORMAL,"['NP', 'UP', 'INT', 'OP']","['M1-ABNORMAL', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR', 'FIBER', 'PV-HOLE-T']","['TFT', 'CF']"
PV-HOLE-T@NP@TFT@Array_B4X04UA-1-3.jpg,TFT,TFT,NP,NP,PV-HOLE-T,PV-HOLE-T,"['NP', 'UP', 'OP', 'INT']","['PV-HOLE-T', 'FIBER', 'PI SPOT-WITH PAR', 'CF PS DEFORMATION', 'POLYMER']","['TFT', 'CF']"
M1-ABNORMAL@NP@TFT@Array_BBTC5WG-1-3.jpg,TFT,TFT,NP,NP,M1-ABNORMAL,M1-ABNORMAL,"['NP', 'OP', 'UP', 'INT']","['M1-ABNORMAL', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'AS-RESIDUE-E', 'FIBER']","['TFT', 'CF']"
PI SPOT-WITH PAR@UP@CF@Cell_B28S1PC-1-3.jpg,CF,CF,UP,UP,PI SPOT-WITH PAR,PI SPOT-WITH PAR,"['UP', 'OP', 'NP', 'INT']","['PI SPOT-WITH PAR', 'LIGHT METAL', 'POLYMER', 'GLASS BROKEN', 'M1-ABNORMAL']","['CF', 'TFT']"
GLASS CULLET@OP@CF@Cell_B54J0HC-1-3.jpg,CF,CF,OP,OP,GLASS CULLET,POLYMER,"['OP', 'UP', 'INT', 'NP']","['POLYMER', 'GLASS CULLET', 'FIBER', 'PI SPOT-WITH PAR', 'ESD']","['CF', 'TFT']"
